icici_code,nse_symbol,company_name,series,isin_code,group,group_source,industry,industry_source,nifty_company_name,nse_macro,nse_sector,nse_industry_info,nse_basic_industry
DSP150,MIDQ50ADD,Dsp Nifty Midcap 150 Etf,EQ,INF740KA1QL0,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPB10,BANK10ADD,Dsp Bse Top 10 Banks Etf,EQ,INF740KA1YH2,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPBAN,BANKADD,Dsp Nifty Bank Etf,EQ,INF740KA1RX3,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPEQU,EQUAL50ADD,Dsp Nifty 50 Equal Weight Etf,EQ,INF740KA1QK2,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPETF,LIQUIDETF,Dsp Nifty 1d Rate Liquid Etf,EQ,INF740KA1EU7,,,,,,,,,
DSPGOL,GOLDADD,Dsp Gold Etf,EQ,INF740KA1SW3,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPHEA,HEALTHADD,Dsp Nifty Healthcare Etf,EQ,INF740KA1UF4,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPITF,ITADD,Dsp Nifty It Etf,EQ,INF740KA1SX1,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPMSC,MSCIADD,Dsp Msci India Etf,EQ,INF740KA1WV7,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPN30,NEXT30ADD,Dsp Bse Sensex Next 30 Etf,EQ,INF740KA1VE5,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPN50,NIFTYADD,Dsp Nifty 50 Etf,EQ,INF740KA1CL0,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPNEX,NEXT50ADD,Dsp Nifty Next 50 Etf,EQ,INF740KA1XU7,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPNIF,FLEXIADD,Dsp Nifty500 Flexi Qlty 30 Etf,EQ,INF740KA1WU9,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPNMC,MIDCAPADD,Dsp Nifty Midcap 150 Etf,EQ,INF740KA1WW5,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPNSC,SMALLADD,Dsp Nifty Smallcap 250 Etf,EQ,INF740KA1WX3,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPPLE,LIQUIDADD,Dsp Bse Liquid Rate Etf,EQ,INF740KA1UM0,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
